2019-11-19 10:48:26.664732: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-11-19 10:48:26.826185: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-11-19 10:48:26.827380: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x6bcbca0 executing computations on platform CUDA. Devices:
2019-11-19 10:48:26.827417: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): Tesla V100-PCIE-32GB, Compute Capability 7.0
2019-11-19 10:48:26.829536: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2200060000 Hz
2019-11-19 10:48:26.831272: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x6c347f0 executing computations on platform Host. Devices:
2019-11-19 10:48:26.831295: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-11-19 10:48:26.831866: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: Tesla V100-PCIE-32GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
pciBusID: 0000:00:05.0
totalMemory: 31.72GiB freeMemory: 31.41GiB
2019-11-19 10:48:26.831881: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-11-19 10:48:26.833176: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-11-19 10:48:26.833188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-11-19 10:48:26.833194: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-11-19 10:48:26.833265: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 14616 MB memory) -> physical GPU (device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:00:05.0, compute capability: 7.0)
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From ./src/sample.py:67: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From ./src/sample.py:72: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
2019-11-19 10:49:13.708551: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
Loading checkpoint checkpoint/pretrained/model-7760000
Loading dataset...
Training...
[2 | 8.74] loss=3.71111 avg=3.71111
[97 | 56.29] loss=3.73271 avg=3.57154
[98 | 56.79] loss=3.23851 avg=3.56619
[99 | 57.29] loss=3.66335 avg=3.56774
Generating samples...
======== SAMPLE 1 ========
['잃', '##은', '게', '아닌가', '##하', '##는', '생각', '##에', '답답', '##했다', '”', '고', '말', '##했다', '.', '이씨', '##는', '“', '너무', '답답', '##해서', '자', '##는', '척', '##을', '하다', '##가', '결국', '##은', '정신', '##을', '차리', '##게', '되', '##는', '것', '같', '##다', '.', '너무', '힘들', '##어서', '‘', '아', ',', '그렇게', '힘들', '##겠다', '.', '’', '하', '##고', '말', '##하', '##는데', '더', '심했', '##다', '”', '고', '말', '##했다', '.', '이', '글', '##을', '읽', '##은', '일부', '직장인', '##들', '##은', '글쓴이', '##를', '비난', '##하', '##는', '댓글', '##을', '단', '것', '##으로', '안다', '.', '글쓴이', '##도', '글쓴이', '##에게', '“', '평소', '##에', '##는', '별로', '좋', '##아', '##하', '##지', '않', '##는', '것', '같', '##다', '”', '고', '말', '##했다', '##고', '글쓴이', '##가', '밝혔', '##다', '.', '글쓴이', '##는', '“', '글쓴이', '##가', '자신', '##의', '‘', '왕따', '’', '적', '##으로', '생각', '##하고', '있', '##다면', '정말', '화가', '날', '수', '##밖에', '없', '##을', '##것', '같', '##다', '”', '고', '말', '##했다', '.', '글쓴이', '##는', '“', '글쓴이', '##는', '정말', '왕따', '##를', '당하', '##고', '있', '##다고', '생각', '##한다', '.', '다만', ',', '왕따', '##가', '당하', '##고', '##있는', '##건', '사실', '다르', '##다', '.', '내', '##가', '어렸', '##을', '때', '##도', '왕따', '##를', '당하', '##고', '있', '##다고', '생각', '##한', '적', '##이', '있', '##는지', '고민', '##이', '된다', '.', '왕따', '##는', '생각', '##해', '##보', '##면', '그', '날', '하루', '##종일', '있', '##다가', '집', '##에', '돌아와', '처음', '##에', '만났', '##을', '##때', '너무', '무서웠', '##다', '”', '고', '자신', '##의', '잘못', '##을', '인정', '##했다', '.', '글쓴이', '##는', '학교', '##에서', '왕따', '##를', '당하', '##는', '것', '##이', '쉽', '##다고', '보', '##았', '##고', ',', '특히', '왕따', '##를', '당하', '##는', '학생', '##이', '자신', '##의', '입장', '##을', '생각', '##해', '보', '##았', '##다고', '하']

[100 | 65.81] loss=3.44593 avg=3.56581
[101 | 66.31] loss=3.65501 avg=3.56721
[102 | 66.81] loss=3.36366 avg=3.56402
[103 | 67.31] loss=3.49934 avg=3.56301
[104 | 67.81] loss=3.56400 avg=3.56303
[105 | 68.31] loss=3.58692 avg=3.56340
[106 | 68.81] loss=3.61512 avg=3.56419
[107 | 69.31] loss=3.40959 avg=3.56183
[108 | 69.82] loss=3.15861 avg=3.55571
[109 | 70.32] loss=3.42064 avg=3.55367
[110 | 70.82] loss=3.49053 avg=3.55272
[111 | 71.32] loss=3.68328 avg=3.55467
[112 | 71.82] loss=3.60672 avg=3.55545
[113 | 72.32] loss=3.43612 avg=3.55368
[114 | 72.82] loss=3.51902 avg=3.55317
[115 | 73.32] loss=3.51032 avg=3.55254
[116 | 73.83] loss=3.35757 avg=3.54970
[117 | 74.33] loss=3.63363 avg=3.55092
[118 | 74.83] loss=3.33992 avg=3.54786
[119 | 75.33] loss=3.65145 avg=3.54936
[120 | 75.83] loss=3.60653 avg=3.55018
[121 | 76.33] loss=3.68364 avg=3.55208
[122 | 76.83] loss=3.67579 avg=3.55384
[123 | 77.33] loss=3.32740 avg=3.55063
[124 | 77.83] loss=3.29382 avg=3.54701
[125 | 78.33] loss=3.34791 avg=3.54422
[126 | 78.83] loss=3.62251 avg=3.54531
[127 | 79.33] loss=3.38424 avg=3.54307
[128 | 79.84] loss=3.28188 avg=3.53945
[129 | 80.34] loss=3.32038 avg=3.53642
[130 | 80.84] loss=3.54498 avg=3.53654
[131 | 81.34] loss=3.41370 avg=3.53486
[132 | 81.84] loss=3.52289 avg=3.53469
[133 | 82.35] loss=3.57680 avg=3.53526
[134 | 82.85] loss=3.57576 avg=3.53581
[135 | 83.35] loss=3.30291 avg=3.53267
[136 | 83.85] loss=3.78945 avg=3.53612
[137 | 84.35] loss=3.51324 avg=3.53582
[138 | 84.85] loss=3.50444 avg=3.53540
[139 | 85.35] loss=3.35718 avg=3.53302
[140 | 85.86] loss=3.46810 avg=3.53216
[141 | 86.36] loss=3.61974 avg=3.53332
[142 | 86.86] loss=3.65853 avg=3.53497
[143 | 87.36] loss=3.60391 avg=3.53588
[144 | 87.86] loss=3.57868 avg=3.53644
[145 | 88.36] loss=3.30246 avg=3.53338
[146 | 88.86] loss=3.14470 avg=3.52831
[147 | 89.37] loss=3.29329 avg=3.52526
[148 | 89.87] loss=3.57025 avg=3.52584
[149 | 90.37] loss=3.46176 avg=3.52501
[150 | 90.87] loss=3.44400 avg=3.52397
[151 | 91.37] loss=3.64314 avg=3.52550usage: train.py [-h] --dataset PATH [--model_name MODEL] [--batch_size SIZE]
                [--learning_rate LR] [--only_train_transformer_layers]
                [--optimizer OPTIMIZER] [--noise NOISE] [--top_k TOP_K]
                [--top_p TOP_P] [--restore_from RESTORE_FROM]
                [--run_name RUN_NAME] [--sample_every N]
                [--sample_length TOKENS] [--sample_num N] [--save_every N]
train.py: error: the following arguments are required: --dataset

[152 | 91.88] loss=3.45874 avg=3.52465
[153 | 92.38] loss=3.62807 avg=3.52597
[154 | 92.88] loss=3.87486 avg=3.53041
[155 | 93.38] loss=3.82362 avg=3.53414
[156 | 93.88] loss=3.15447 avg=3.52933
[157 | 94.39] loss=3.25690 avg=3.52588
[158 | 94.89] loss=3.45075 avg=3.52494
[159 | 95.40] loss=3.34390 avg=3.52266
[160 | 95.90] loss=3.22514 avg=3.51893
[161 | 96.40] loss=3.31513 avg=3.51638
[162 | 96.90] loss=3.39348 avg=3.51485
[163 | 97.40] loss=3.37128 avg=3.51307
[164 | 97.90] loss=3.48569 avg=3.51273
[165 | 98.41] loss=3.43693 avg=3.51179
[166 | 98.91] loss=3.81006 avg=3.51547
[167 | 99.41] loss=3.37487 avg=3.51374
[168 | 99.91] loss=3.64267 avg=3.51532
[169 | 100.41] loss=3.52460 avg=3.51544
[170 | 100.91] loss=3.80904 avg=3.51903
[171 | 101.41] loss=3.38812 avg=3.51743
[172 | 101.91] loss=3.57177 avg=3.51809
[173 | 102.41] loss=3.26422 avg=3.51501
[174 | 102.91] loss=3.59851 avg=3.51602
[175 | 103.42] loss=3.18636 avg=3.51203
[176 | 103.92] loss=3.42450 avg=3.51097
[177 | 104.42] loss=3.52864 avg=3.51119
[178 | 104.93] loss=3.47511 avg=3.51075
[179 | 105.43] loss=3.68768 avg=3.51288
[180 | 105.93] loss=3.54052 avg=3.51321
[181 | 106.44] loss=3.61128 avg=3.51438
[182 | 106.94] loss=3.54952 avg=3.51480
[183 | 107.44] loss=3.41526 avg=3.51361
[184 | 107.94] loss=3.39794 avg=3.51224
[185 | 108.45] loss=3.46318 avg=3.51166
[186 | 108.95] loss=3.75180 avg=3.51450
[187 | 109.45] loss=3.85218 avg=3.51849
[188 | 109.95] loss=3.43631 avg=3.51752
[189 | 110.45] loss=3.26889 avg=3.51459
[190 | 110.96] loss=3.48018 avg=3.51419
[191 | 111.46] loss=3.30308 avg=3.51171
[192 | 111.96] loss=3.71212 avg=3.51406
[193 | 112.47] loss=3.73682 avg=3.51667
[194 | 112.97] loss=2.91157 avg=3.50960
[195 | 113.47] loss=3.30741 avg=3.50724
[196 | 113.97] loss=3.39994 avg=3.50599
[197 | 114.47] loss=3.70418 avg=3.50830
[198 | 114.97] loss=3.42529 avg=3.50733
[199 | 115.48] loss=3.32803 avg=3.50526
Generating samples...
======== SAMPLE 1 ========
['모를', '것', '같', '##다는', '생각', '##도', '든다', '.', '나', '##는', '그', '후', '##로', '그', '책', '##은', '읽', '##어', '##왔다', '.', '이번', '생', '##에', '##는', '좀', '더', '잘', '##하', '##려', '했', '##던', '것', '같', '##다', '.', '예전', '##에', '읽', '##은', '것', '##이', '내', '##가', '알', '##고', '있', '##던', '것', '##보다', '좀', '더', '쉽', '##게', '써', '##진', '글', '##인데도', '이번', '생', '##의', '생', '##에서', '보', '##기', '가장', '인상', '##적', '##인', '것', '##은', '이', '글', '##이', '##었', '##다', '.', '그', '글', '##이', '읽', '##고', '싶', '##은데', '막상', '읽', '##을', '수가', '없', '##었', '##다', '.', '그', '글', '##은', '잘', '읽', '##히', '##지도', '않', '##고', '읽', '##어도', '문장', '##이', '잘', '잡히', '##지도', '않', '##고', '문장', '##이', '잘', '드러나', '##지도', '않', '##았', '##다', '.', '그런', '문장', '##들', '##을', '어떻게', '끌', '##고', '간다', '하', '##더라도', '읽', '##어보', '##면', '정말', '잘', '읽', '##혔', '##고', '그런', '것', '##이', '내', '##가', '글', '##을', '쓸', '때', '하', '##고', '싶', '##었', '##던', '글', '##이', '아닐까', '싶', '##다', '.', '이번', '##의', '생', '##에서', '##도', '읽', '##은', '것', '##이', '되', '##어서', '##는', '못', '썼', '##던', '게', '없', '##지', '않', '##느냐고', '생각', '##한다', '.', '그리고', '다음', '생', '##에서', '##도', '읽', '##지', '못', '##했', '##지', '.', '아마', '그', '글', '##을', '쓰', '##는', '날', '##도', '더', '##는', '내', '##가', '원', '##하', '##지', '않', '##았', '##던', '내용', '##들', '##이', '좀', '더', '많', '##은', '부분', '##이나', '더', '많', '##은', '것', '##들', '##이', '되', '##었', '##을까', '.', '그래서', '또', '한', '번', '읽', '##고', '싶', '##다', '.', '내', '글', '##을', '읽', '##고', '싶', '##지', '않', '##았', '##다', '.', '그래도', '글', '##을', '읽', '##으면서', '마음', '한', '구석', '##에서', '크']

[200 | 120.51] loss=3.56192 avg=3.50591
[201 | 121.01] loss=3.32677 avg=3.50384
[202 | 121.51] loss=3.63226 avg=3.50532
[203 | 122.02] loss=3.68605 avg=3.50740
[204 | 122.52] loss=3.43383 avg=3.50656
[205 | 123.02] loss=3.65759 avg=3.50829
[206 | 123.52] loss=3.38786 avg=3.50691
[207 | 124.03] loss=3.52607 avg=3.50713
[208 | 124.53] loss=3.82301 avg=3.51074
[209 | 125.03] loss=3.49747 avg=3.51059
[210 | 125.53] loss=3.49968 avg=3.51046
[211 | 126.04] loss=3.33137 avg=3.50843
[212 | 126.54] loss=3.58615 avg=3.50931
[213 | 127.04] loss=3.69623 avg=3.51143
[214 | 127.55] loss=3.63847 avg=3.51287
[215 | 128.05] loss=3.38671 avg=3.51144
[216 | 128.55] loss=3.43122 avg=3.51054
[217 | 129.06] loss=3.85382 avg=3.51441
[218 | 129.56] loss=3.78278 avg=3.51744
[219 | 130.06] loss=3.44761 avg=3.51665
[220 | 130.56] loss=3.94127 avg=3.52142
[221 | 131.06] loss=3.42943 avg=3.52039
[222 | 131.56] loss=3.55020 avg=3.52073
[223 | 132.07] loss=3.42758 avg=3.51968
[224 | 132.57] loss=3.42871 avg=3.51866
[225 | 133.08] loss=3.55557 avg=3.51908
[226 | 133.58] loss=3.40305 avg=3.51778
[227 | 134.09] loss=3.46618 avg=3.51721
[228 | 134.59] loss=3.21472 avg=3.51384
[229 | 135.09] loss=3.36565 avg=3.51219
[230 | 135.59] loss=3.38276 avg=3.51075
[231 | 136.09] loss=3.24050 avg=3.50775
[232 | 136.60] loss=3.18354 avg=3.50416
[233 | 137.10] loss=3.29970 avg=3.50189
[234 | 137.60] loss=3.42188 avg=3.50101
[235 | 138.10] loss=3.24645 avg=3.49819
[236 | 138.60] loss=3.95149 avg=3.50320
[237 | 139.10] loss=3.48208 avg=3.50296
[238 | 139.61] loss=3.39305 avg=3.50175
[239 | 140.11] loss=3.56038 avg=3.50240
[240 | 140.61] loss=3.29892 avg=3.50016
[241 | 141.11] loss=3.16073 avg=3.49643
[242 | 141.61] loss=3.34216 avg=3.49474
[243 | 142.11] loss=3.54023 avg=3.49524
[244 | 142.61] loss=3.44868 avg=3.49473
[245 | 143.12] loss=3.44339 avg=3.49417
[246 | 143.62] loss=3.28321 avg=3.49186
[247 | 144.12] loss=3.43193 avg=3.49121
[248 | 144.62] loss=3.48782 avg=3.49117
[249 | 145.13] loss=3.18392 avg=3.48782
[250 | 145.63] loss=3.58324 avg=3.48886
[251 | 146.13] loss=3.56805 avg=3.48972
[252 | 146.63] loss=3.50587 avg=3.48990
[253 | 147.13] loss=3.18584 avg=3.48659
[254 | 147.63] loss=3.47997 avg=3.48652
[255 | 148.14] loss=3.75456 avg=3.48943
[256 | 148.64] loss=3.39284 avg=3.48838
[257 | 149.14] loss=3.29440 avg=3.48628
[258 | 149.64] loss=3.37628 avg=3.48509
[259 | 150.14] loss=3.14442 avg=3.48141
[260 | 150.64] loss=3.33606 avg=3.47984
[261 | 151.14] loss=3.58678 avg=3.48099
[262 | 151.64] loss=3.33023 avg=3.47937
[263 | 152.14] loss=3.13433 avg=3.47565
[264 | 152.65] loss=3.59341 avg=3.47692
[265 | 153.15] loss=3.59463 avg=3.47818
[266 | 153.65] loss=3.25997 avg=3.47584
[267 | 154.15] loss=3.48959 avg=3.47599
[268 | 154.65] loss=3.36413 avg=3.47479
[269 | 155.15] loss=3.52509 avg=3.47533
[270 | 155.65] loss=3.45759 avg=3.47514
[271 | 156.16] loss=3.16769 avg=3.47184
[272 | 156.66] loss=3.54440 avg=3.47262
[273 | 157.16] loss=3.24680 avg=3.47020
[274 | 157.66] loss=3.37615 avg=3.46920
[275 | 158.16] loss=3.38740 avg=3.46833
[276 | 158.66] loss=3.62023 avg=3.46995
[277 | 159.16] loss=3.43544 avg=3.46958
[278 | 159.66] loss=3.54925 avg=3.47043
[279 | 160.17] loss=3.20775 avg=3.46763
[280 | 160.67] loss=3.15206 avg=3.46427
[281 | 161.17] loss=3.65214 avg=3.46627
[282 | 161.67] loss=3.53853 avg=3.46704
[283 | 162.18] loss=3.33601 avg=3.46565
[284 | 162.68] loss=3.16270 avg=3.46243
[285 | 163.18] loss=3.19758 avg=3.45962
[286 | 163.68] loss=3.38909 avg=3.45887
[287 | 164.18] loss=3.66664 avg=3.46107
[288 | 164.68] loss=3.57159 avg=3.46224
[289 | 165.18] loss=3.53404 avg=3.46300
[290 | 165.69] loss=3.48138 avg=3.46320
[291 | 166.19] loss=3.22735 avg=3.46070
[292 | 166.69] loss=3.40588 avg=3.46012
[293 | 167.19] loss=3.42025 avg=3.45970
[294 | 167.69] loss=3.15607 avg=3.45650
[295 | 168.19] loss=3.35563 avg=3.45543
[296 | 168.70] loss=3.73587 avg=3.45839
[297 | 169.20] loss=3.25819 avg=3.45628
[298 | 169.70] loss=3.24219 avg=3.45403
[299 | 170.20] loss=3.14682 avg=3.45079
Generating samples...
======== SAMPLE 1 ========
